name,image,availability,deckcode,type,subtype,rarity,attribute,class,cost,power,health,uses,ability,aactivate,activate,aassemble,assemble,banish,abattle,battle,beastform,abetray,betray,abreakthrough,breakthrough,change,acharge,charge,aconsume,consume,copy,acover,cover,adrain,drain,aempower,empower,aequip,equip,aexalt,exalt,aexpertise,expertise,aguard,guard,aheal,heal,ainvade,invade,alastgasp,lastgasp,alethal,lethal,amobilize,mobilize,amove,move,apilfer,pilfer,plot,aprophecy,prophecy,arally,rally,aregenerate,regenerate,asacrifice,sacrifice,ashackle,shackle,shout,asilence,silence,aslay,slay,steal,asummon,summon,transform,atreasurehunt,treasurehunt,uniqueability,unsummon,aveteran,veteran,award,ward,awaxwane,waxwane,awounded
Abandoned Imperfect,LG-card-Abandoned Imperfect.png,Clockwork City,ac,Support,,Rare,Neutral,,5,,,Ongoing,Treasure Hunt - Three Neutral cards: Sacrifice Abandoned Imperfect to summon an 8/8 Awakened Imperfect with Breakthrough and Guard to the lane of your choice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
Abecean Navigator,LG-card-Abecean Navigator.png,Core,ad,Creature,High Elf,Common,Intelligence,,2,3,1,,"Summon: If the top card of your deck is an action, draw it. Otherwise, put it on the bottom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Abnur Tharn,LG-card-Abnur Tharn.png,Alliance War,uG,Creature,Imperial,Legendary,Intelligence,,6,5,5,,Summon: Abnur Tharn uses the summon ability of a creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Adoring Fan,LG-card-Adoring Fan.png,Exclusive,ae,Creature,Wood Elf,Legendary,Neutral,,3,0,1,,"Prophecy, Guard Immune to Silence. Last Gasp: Adoring Fan will return.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
Aela the Huntress (Nord),LG-card-Aela the Huntress.png,Heroes of Skyrim,af,Creature,Nord,Legendary,Strength,,7,3,3,,Summon: Deal 1 damage.  Beast Form: +2/+2 and destroy a Wounded creature.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Aela's Huntmate (Nord),LG-card-Aela's Huntmate.png,Heroes of Skyrim,ag,Creature,Nord,Rare,Strength,,4,3,3,,Beast Form: +1/+1 and draw a card.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afflicted Alit,LG-card-Afflicted Alit.png,Core,ah,Creature,Reptile,Rare,Strength,,2,3,1,,Summon: Deal 2 damage to each player.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ageless Automaton,LG-card-Ageless Automaton.png,Core,ai,Creature,Dwemer,Rare,Neutral,,4,2,5,,"When Ageless Automaton attacks a Guard, it gains +3/+0 and Breakthrough this turn.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Agent of Mehrunes Dagon,LG-card-Agent of Mehrunes Dagon.png,Jaws of Oblivion,zB,Creature,Imperial,Common,Strength,,2,3,2,,"At the end of each turn, if you Invaded, Agent of Mehrunes Dagon gains +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahnassi,LG-card-Ahnassi.png,Core,aj,Creature ,Khajiit ,Legendary,,Monk,5,5,5,,Summon: Ahnassi steals all Keywords from enemy creatures. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Alchemy,LG-card-Alchemy.png,Alliance War,sv,Action,,Epic,Willpower,,2,,,,Give your Activated supports 1 extra use. Empower: +1 use.,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ald Velothi Assassin,LG-card-Ald Velothi Assassin.png,Houses of Morrowind,ak,Creature,Breton,Rare,Endurance,,2,1,2,,"Lethal, Rally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ald'ruhn Arms Master,LG-card-Ald'ruhn Arms Master.png,Houses of Morrowind,al,Creature,Dark Elf,Rare,Strength,,4,2,3,,"Charge, Rally",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
